Country,total_cases,total_deaths,latitude,longitude,Population,Density(P/KMsq),Land_Area
Curaçao,,,,,192077.0,433.0,444.0
St. Vincent & Grenadines,,,,,103698.0,266.0,390.0
U.S. Virgin Islands,,,,,98750.0,282.0,350.0
Saint Kitts & Nevis,,,,,47755.0,184.0,260.0
Turks and Caicos,,,,,46062.0,48.0,950.0
Sint Maarten,,,,,44222.0,1301.0,34.0
Saint Martin,,,,,32077.0,605.0,53.0
Caribbean Netherlands,,,,,27148.0,83.0,328.0
Wallis & Futuna,,,,,11502.0,82.0,140.0
Saint Pierre & Miquelon,,,,,5840.0,25.0,230.0
Holy See,,,,,518.0,1295.0,0.0
